"Time","Max_vitesse_au_point_y Monitor: Max_vitesse_au_point_y Monitor (m/s)"
100.0,4.231992534187157E-11
200.0,1.5634782357665244E-10
300.0,5.4001247917767614E-11
400.0,-6.338041202980094E-11
500.0,-1.1993961379630491E-11
600.0,4.544631337921601E-11
700.0,4.638422979041934E-11
800.0,1.0936673788819462E-10
900.0,5.9117155615240335E-12
1000.0,4.1666226024972275E-11
1100.0,8.65156835061498E-11
1200.0,1.3949374988442287E-10
1300.0,1.6996182239381596E-10
1400.0,1.7473666957812384E-10
1500.0,2.780780050670728E-10
1600.0,2.319211489520967E-10
1700.0,1.9758772396016866E-10
1800.0,2.1668711269740015E-10
1900.0,1.787157088983804E-10
2000.0,1.8894752429332584E-10
2100.0,8.139977580867708E-11
2200.0,4.9112713895738125E-11
2300.0,1.552962203277275E-10
2400.0,-5.820766091346741E-11
2500.0,1.0686562745831907E-11
2600.0,-2.7284841053187847E-12
2700.0,3.183231456205249E-11
2800.0,-1.3642420526593924E-11
2900.0,-1.3005774235352874E-10
3000.0,-1.1141310096718371E-10
3100.0,-1.141415850725025E-10
3200.0,-1.723492459859699E-10
3300.0,-2.773958840407431E-10
3400.0,-3.2878233469091356E-10
3500.0,-3.587956598494202E-10
3600.0,-4.6475179260596633E-10
3700.0,-5.484253051690757E-10
3800.0,-5.047695594839752E-10
3900.0,-5.284164217300713E-10
4000.0,-4.847606760449708E-10
4100.0,-4.31100488640368E-10
4200.0,-3.474269760772586E-10
4300.0,-3.0831870390102267E-10
4400.0,-1.6825651982799172E-10
4500.0,-5.002220859751105E-11
4600.0,4.001776687800884E-11
4700.0,1.5552359400317073E-10
4800.0,3.537934389896691E-10
4900.0,5.848050932399929E-10
5000.0,7.976268534548581E-10
5100.0,1.0695657692849636E-9
5200.0,1.267835614271462E-9
5300.0,1.4606484910473228E-9
5400.0,1.6316334949806333E-9
5500.0,1.7207639757543802E-9
5600.0,1.7134880181401968E-9
5700.0,1.6789272194728255E-9
5800.0,1.5497789718210697E-9
5900.0,1.3242242857813835E-9
6000.0,1.0804797057062387E-9
6100.0,7.166818249970675E-10
6200.0,2.837623469531536E-10
6300.0,-3.0740920919924974E-10
6400.0,-9.022187441587448E-10
6500.0,-1.5061232261359692E-9
6600.0,-2.1464074961841106E-9
6700.0,-2.7303030947223306E-9
6800.0,-3.259629011154175E-9
6900.0,-3.790773916989565E-9
7000.0,-4.187313606962562E-9
7100.0,-4.507455741986632E-9
7200.0,-4.66206984128803E-9
7300.0,-4.605681169778109E-9
7400.0,-4.283720045350492E-9
7500.0,-3.772584022954106E-9
7600.0,-3.003151505254209E-9
7700.0,-2.0500010577961802E-9
7800.0,-8.36735125631094E-10
7900.0,5.311449058353901E-10
8000.0,2.02817318495363E-9
8100.0,3.612512955442071E-9
8200.0,5.2405084716156125E-9
8300.0,6.8630470195785165E-9
8400.0,8.27094481792301E-9
8500.0,9.582436177879572E-9
8600.0,1.0657458915375173E-8
8700.0,1.1486918083392084E-8
8800.0,1.191438059322536E-8
8900.0,1.1976226232945919E-8
9000.0,1.153239281848073E-8
9100.0,1.0602889233268797E-8
9200.0,9.23682819120586E-9
9300.0,7.3687260737642646E-9
9400.0,5.082256393507123E-9
9500.0,2.4119799491018057E-9
9600.0,-4.893081495538354E-10
9700.0,-3.6325218388810754E-9
9800.0,-6.8703229771927E-9
9900.0,-1.0069925338029861E-8
10000.0,-1.3152202882338315E-8
10100.0,-1.5907062334008515E-8
10200.0,-1.833450369304046E-8
10300.0,-2.0130755729041994E-8
10400.0,-2.1279447537381202E-8
10500.0,-2.1613232092931867E-8
10600.0,-2.1187588572502136E-8
10700.0,-1.976968633243814E-8
10800.0,-1.7338606994599104E-8
10900.0,-1.4073521015234292E-8
11000.0,-9.82709025265649E-9
11100.0,-4.739376890938729E-9
11200.0,1.0786607163026929E-9
11300.0,7.505150279030204E-9
11400.0,1.436819729860872E-8
11500.0,2.134765964001417E-8
11600.0,2.8331669454928488E-8
11700.0,3.4974618756677955E-8
11800.0,4.1037310438696295E-8
11900.0,4.6292370825540274E-8
12000.0,5.043693818151951E-8
12100.0,5.3209078032523394E-8
12200.0,5.4385509429266676E-8
12300.0,5.3849362302571535E-8
12400.0,5.143601811141707E-8
12500.0,4.6983132051536813E-8
12600.0,4.0520262700738385E-8
12700.0,3.200830178684555E-8
12800.0,2.1682808437617496E-8
12900.0,9.582436177879572E-9
13000.0,-4.074991011293605E-9
13100.0,-1.8957507563754916E-8
13200.0,-3.4605363907758147E-8
13300.0,-5.070705810794607E-8
13400.0,-6.676009434158914E-8
13500.0,-8.220467861974612E-8
13600.0,-9.656332622398622E-8
13700.0,-1.0927760740742087E-7
13800.0,-1.196644916490186E-7
13900.0,-1.2732334653264843E-7
14000.0,-1.3168391888029873E-7
14100.0,-1.323032847722061E-7
14200.0,-1.2878081179223955E-7
14300.0,-1.2087275536032394E-7
14400.0,-1.0835992725333199E-7
14500.0,-9.123414201894775E-8
14600.0,-6.952404874027707E-8
14700.0,-4.345474735600874E-8
14800.0,-1.3315457181306556E-8
14900.0,2.014030542341061E-8
15000.0,5.644778866553679E-8
15100.0,9.463497008255217E-8
15200.0,1.3385920283326413E-7
15300.0,1.730634267005371E-7
15400.0,2.1085111256979872E-7
15500.0,2.463866621837951E-7
15600.0,2.7824808057630435E-7
15700.0,3.0508977033605333E-7
15800.0,3.2579237085883506E-7
15900.0,3.390787242096849E-7
16000.0,3.4399499782011844E-7
16100.0,3.3960668588406406E-7
16200.0,3.251213911426021E-7
16300.0,2.9997522688063327E-7
16400.0,2.6414136300445534E-7
16500.0,2.1762184587714728E-7
16600.0,1.606365458428627E-7
16700.0,9.393693289894145E-8
16800.0,1.8489117792341858E-8
16900.0,-6.420691534003709E-8
17000.0,-1.5271007214323618E-7
17100.0,-2.4464793568768073E-7
17200.0,-3.380442876732559E-7
17300.0,-4.3038403418904636E-7
17400.0,-5.188470595385297E-7
17500.0,-6.002458121656673E-7
17600.0,-6.722577836626442E-7
17700.0,-7.314665708690882E-7
17800.0,-7.754907755952445E-7
17900.0,-8.016919537112699E-7
18000.0,-8.075122082118469E-7
18100.0,-7.910952604106569E-7
18200.0,-7.505992698497721E-7
18300.0,-6.852671958768042E-7
18400.0,-5.951552566330065E-7
18500.0,-4.805203843716299E-7
18600.0,-3.4209642763016745E-7
18700.0,-1.8072068996843882E-7
18800.0,-1.4438228390645236E-10
18900.0,1.9558845565370575E-7
19000.0,4.0277383561715396E-7
19100.0,6.172661102255006E-7
19200.0,8.284160273319685E-7
19300.0,1.0406485415614952E-6
19400.0,1.2430663502982497E-6
19500.0,1.425949244016067E-6
19600.0,1.58518508897032E-6
19700.0,1.71194925258078E-6
19800.0,1.8070311540441253E-6
19900.0,1.8551600788896394E-6
20000.0,1.8472061995566946E-6
20100.0,1.7901040578749416E-6
20200.0,1.6784999203878215E-6
20300.0,1.5063373410839631E-6
20400.0,1.279473700321887E-6
20500.0,9.952270083601888E-7
20600.0,6.555678737640847E-7
20700.0,2.6609285441736574E-7
20800.0,-1.7206434677063953E-7
20900.0,-6.423063041438581E-7
21000.0,-1.1351913258295099E-6
21100.0,-1.6418033794707299E-6
21200.0,-2.148688707848123E-6
21300.0,-2.6302651576770586E-6
21400.0,-3.0967349999855287E-6
21500.0,-3.5192833678365787E-6
21600.0,-3.875364299688044E-6
21700.0,-4.149209793524733E-6
21800.0,-4.3336511410529965E-6
21900.0,-4.41540275630814E-6
22000.0,-4.378632738166743E-6
22100.0,-4.211851205582207E-6
22200.0,-3.904994827053088E-6
22300.0,-3.4596265550135286E-6
22400.0,-2.8837025638495106E-6
22500.0,-2.178093609472853E-6
22600.0,-1.3389023933996214E-6
22700.0,-3.7487643567146733E-7
22800.0,7.00388795848994E-7
22900.0,1.8588978036859771E-6
23000.0,3.0741238106202218E-6
23100.0,4.312232704251073E-6
23200.0,5.550375476559566E-6
23300.0,6.761334617522152E-6
23400.0,7.903677584408797E-6
23500.0,8.9368770339604E-6
23600.0,9.818141322170959E-6
23700.0,1.0506129093812433E-5
23800.0,1.0967080280366304E-5
23900.0,1.1168004526496134E-5
24000.0,1.1083464002581422E-5
24100.0,1.0684633593882609E-5
24200.0,9.952991691264401E-6
24300.0,8.876582256789334E-6
24400.0,7.454600449818827E-6
24500.0,5.692369200005487E-6
24600.0,3.6065949871044722E-6
24700.0,1.2241621334396768E-6
24800.0,-1.41878967951925E-6
24900.0,-4.2747681163746165E-6
25000.0,-7.28559871276957E-6
25100.0,-1.0384753863945662E-5
25200.0,-1.3495485212899894E-5
25300.0,-1.653706038950986E-5
25400.0,-1.942505969054764E-5
25500.0,-2.206919441505306E-5
25600.0,-2.437215357531386E-5
25700.0,-2.623705245241581E-5
25800.0,-2.7569988787945476E-5
25900.0,-2.8285399139349465E-5
26000.0,-2.830981406987121E-5
26100.0,-2.7580491860135226E-5
26200.0,-2.6047842538901023E-5
26300.0,-2.367895638144546E-5
26400.0,-2.046102895292279E-5
26500.0,-1.640253893242516E-5
26600.0,-1.1536060242178792E-5
26700.0,-5.919274371990468E-6
26800.0,3.6891401578031946E-7
26900.0,7.221379746624734E-6
27000.0,1.4500754161872464E-5
27100.0,2.2048483515391126E-5
27200.0,2.9685993013117695E-5
27300.0,3.721886741914204E-5
27400.0,4.4440785131882876E-5
27500.0,5.1133653869328555E-5
27600.0,5.7073612879321445E-5
27700.0,6.203726934472797E-5
27800.0,6.580916942766635E-5
27900.0,6.818346446380019E-5
28000.0,6.897478306200355E-5
28100.0,6.802370444347616E-5
28200.0,6.519954513350967E-5
28300.0,6.040862717782147E-5
28400.0,5.359604983823374E-5
28500.0,4.476844924283796E-5
28600.0,3.3993570923485095E-5
28700.0,2.1394881798642018E-5
28800.0,7.1181918883667095E-6
28900.0,-8.62760634845472E-6
29000.0,-2.551684687546185E-5
29100.0,-4.317363936934271E-5
29200.0,-6.119607041910058E-5
29300.0,-7.915795777080348E-5
29400.0,-9.65839881246211E-5
29500.0,-1.1295907825115137E-4
29600.0,-1.2775047071045265E-4
29700.0,-1.4042348266229965E-4
29800.0,-1.5044890824356116E-4
29900.0,-1.5732342944829725E-4
30000.0,-1.6057500033639371E-4
30100.0,-1.5981727483449504E-4
30200.0,-1.547785141156055E-4
30300.0,-1.4523939898936078E-4
30400.0,-1.310577008553082E-4
30500.0,-1.122209559980547E-4
30600.0,-8.884344788384624E-5
30700.0,-6.111073707870673E-5
30800.0,-2.950401926682389E-5
30900.0,5.6222274906758685E-6
31000.0,4.3655530134856235E-5
31100.0,8.375704601348843E-5
31200.0,1.2504082224040758E-4
31300.0,1.6647833763272502E-4
31400.0,2.0694197519333102E-4
31500.0,2.452210828778334E-4
31600.0,2.800864531309344E-4
