"Time","Max_vitesse_au_point_y Monitor: Max_vitesse_au_point_y Monitor (m/s)"
50.0,8.760139280639123E-10
100.0,-2.460183168295771E-10
150.0,4.695266397902742E-11
200.0,4.149569576838985E-11
250.0,7.366907084360719E-11
300.0,-7.980816008057445E-11
350.0,-1.2960299500264227E-11
400.0,-3.7971403799019754E-11
450.0,-1.4654233382316306E-10
500.0,-1.510898073320277E-10
550.0,-2.1759660739917308E-10
600.0,-2.3806023818906397E-10
650.0,-1.1118572729174048E-10
700.0,-1.375610736431554E-10
750.0,-1.709850039333105E-10
800.0,-3.283275873400271E-10
850.0,-2.2942003852222115E-10
900.0,-2.4851942725945264E-10
950.0,-3.637978807091713E-10
1000.0,-3.2014213502407074E-10
1050.0,-5.20230969414115E-10
1100.0,-6.184563972055912E-10
1150.0,-6.070877134334296E-10
1200.0,-5.020410753786564E-10
1250.0,-4.75210981676355E-10
1300.0,-5.57520252186805E-10
1350.0,-6.994014256633818E-10
1400.0,-8.853930921759456E-10
1450.0,-6.752998160663992E-10
1500.0,-5.593392415903509E-10
1550.0,-5.711626727133989E-10
1600.0,-3.551576810423285E-10
1650.0,-2.2509993868879974E-10
1700.0,-6.048139766789973E-11
1750.0,2.9103830456733704E-11
1800.0,1.978150976356119E-10
1850.0,4.129105946049094E-10
1900.0,5.284164217300713E-10
1950.0,6.83940015733242E-10
2000.0,7.785274647176266E-10
2050.0,8.703864295966923E-10
2100.0,8.967617759481072E-10
2150.0,1.0313669918105006E-9
2200.0,1.1114025255665183E-9
2250.0,1.2714735930785537E-9
2300.0,1.4815668691881E-9
2350.0,1.6516423784196377E-9
2400.0,1.7644197214394808E-9
2450.0,2.2137101041153073E-9
2500.0,2.5265762815251946E-9
2550.0,3.06863512378186E-9
2600.0,3.434251993894577E-9
2650.0,4.027242539450526E-9
2700.0,4.540197551250458E-9
2750.0,5.058609531261027E-9
2800.0,5.720721674151719E-9
2850.0,6.210029823705554E-9
2900.0,6.868503987789154E-9
2950.0,7.301423465833068E-9
3000.0,7.810740498825908E-9
3050.0,8.32369551062584E-9
3100.0,8.425558917224407E-9
3150.0,8.614733815193176E-9
3200.0,8.763890946283937E-9
3250.0,8.807546691969037E-9
3300.0,8.74933903105557E-9
3350.0,8.476490620523691E-9
3400.0,8.174538379535079E-9
3450.0,7.58154783397913E-9
3500.0,6.832124199718237E-9
3550.0,5.929905455559492E-9
3600.0,4.82032191939652E-9
3650.0,3.6052369978278875E-9
3700.0,2.2009771782904863E-9
3750.0,6.584741640836E-10
3800.0,-9.968061931431293E-10
3850.0,-2.73939804174006E-9
3900.0,-4.43833414465189E-9
4000.0,-8.014467312023044E-9
4100.0,-1.1092197382822633E-8
4200.0,-1.3518729247152805E-8
4300.0,-1.5308614820241928E-8
4400.0,-1.6028934624046087E-8
4500.0,-1.5668774722144008E-8
4600.0,-1.416628947481513E-8
4700.0,-1.1674273991957307E-8
4800.0,-8.061761036515236E-9
4900.0,-3.6052369978278875E-9
5000.0,1.597072696313262E-9
5100.0,7.49787432141602E-9
5200.0,1.3649696484208107E-8
5300.0,2.0165316527709365E-8
5400.0,2.6233465177938342E-8
5500.0,3.199966158717871E-8
5600.0,3.7347490433603525E-8
5700.0,4.162939148955047E-8
5800.0,4.4617991079576313E-8
5900.0,4.643334250431508E-8
6000.0,4.727553459815681E-8
6100.0,4.581306711770594E-8
6200.0,4.2637111619114876E-8
6300.0,3.72474460164085E-8
6400.0,2.9976945370435715E-8
6500.0,2.046181180048734E-8
6600.0,8.885763236321509E-9
6700.0,-4.485627869144082E-9
6800.0,-1.9639628590084612E-8
6900.0,-3.6188794183544815E-8
7000.0,-5.351830623112619E-8
7100.0,-7.168455340433866E-8
7200.0,-8.984716259874403E-8
7300.0,-1.0764597391244024E-7
7400.0,-1.2426426110323519E-7
7500.0,-1.388107193633914E-7
7600.0,-1.5094155969563872E-7
7700.0,-1.5953446563798934E-7
7800.0,-1.6408921510446817E-7
7900.0,-1.636781234992668E-7
8000.0,-1.5778641682118177E-7
8100.0,-1.4575380191672593E-7
8200.0,-1.2698546925093979E-7
8300.0,-1.0141047823708504E-7
8400.0,-6.855407264083624E-8
8500.0,-2.8690919862128794E-8
8600.0,1.8097125575877726E-8
8700.0,7.095877663232386E-8
8800.0,1.2953933037351817E-7
8900.0,1.9238177628722042E-7
9000.0,2.5808003556448966E-7
9100.0,3.2520438253413886E-7
9200.0,3.920249582733959E-7
9300.0,4.558423825073987E-7
9400.0,5.143956514075398E-7
9500.0,5.649217200698331E-7
9600.0,6.047703209333122E-7
9700.0,6.310947355814278E-7
9800.0,6.407535693142563E-7
9900.0,6.307473086053506E-7
10000.0,5.990495992591605E-7
10100.0,5.427082214737311E-7
10200.0,4.599314706865698E-7
10300.0,3.495333658065647E-7
10400.0,2.1016967366449535E-7
10500.0,4.2105966713279486E-8
10600.0,-1.5430305211339146E-7
10700.0,-3.7726749724242836E-7
10800.0,-6.248674253583886E-7
10900.0,-8.926672308007255E-7
11000.0,-1.1763513612095267E-6
11100.0,-1.470091774535831E-6
11200.0,-1.7668116925051436E-6
11300.0,-2.058804966509342E-6
11400.0,-2.3365573724731803E-6
11500.0,-2.5900817490764894E-6
11600.0,-2.8087270038668066E-6
11700.0,-2.9814818844897673E-6
11800.0,-3.096187356277369E-6
11900.0,-3.1415684134117328E-6
12000.0,-3.1062299967743456E-6
12100.0,-2.979460987262428E-6
12200.0,-2.7514788598637097E-6
12300.0,-2.41421366808936E-6
12400.0,-1.960863301064819E-6
12500.0,-1.3877452147426084E-6
12600.0,-6.932068572496064E-7
12700.0,1.2085092748748139E-7
12800.0,1.049113052431494E-6
12900.0,2.082797436742112E-6
13000.0,3.208956513844896E-6
13100.0,4.410355359141249E-6
13200.0,5.6653248066140804E-6
13300.0,6.946649591554888E-6
13400.0,8.224951670854352E-6
13500.0,9.466169558436377E-6
13600.0,1.0631902114255354E-5
13700.0,1.1680238912958885E-5
13800.0,1.2565244105644524E-5
13900.0,1.3241539818409365E-5
14000.0,1.3662552419191343E-5
14100.0,1.377833541482687E-5
14200.0,1.3544436797019443E-5
14300.0,1.2917313597426983E-5
14400.0,1.185685164273309E-5
14500.0,1.032924888022535E-5
14600.0,8.30995804790291E-6
14700.0,5.7869060583470855E-6
14800.0,2.749303348537069E-6
14900.0,-7.968014870129991E-7
15000.0,-4.8309448175132275E-6
15100.0,-9.314328508480685E-6
15200.0,-1.419584953055164E-5
15300.0,-1.940466438554722E-5
15400.0,-2.4848549742273462E-5
15500.0,-3.0422705776800285E-5
15600.0,-3.600150967031368E-5
15700.0,-4.144120975979604E-5
15800.0,-4.6579835270676995E-5
15900.0,-5.126153337187134E-5
16000.0,-5.5274161240959074E-5
16100.0,-5.839456571266055E-5
16200.0,-6.0403493989724666E-5
16300.0,-6.11234390817117E-5
16400.0,-6.036271952325478E-5
16500.0,-5.7946916967921425E-5
16600.0,-5.370467442844529E-5
16700.0,-4.7483293201366905E-5
16800.0,-3.9145680148067186E-5
16900.0,-2.8607066269614734E-5
17000.0,-1.5807590216354583E-5
17100.0,-7.622545581398299E-7
17200.0,1.649286025440233E-5
17300.0,3.581812597985845E-5
17400.0,5.7000695960596204E-5
17500.0,7.975049993547145E-5
17600.0,1.0368971197749488E-4
17700.0,1.2839458395319525E-4
17800.0,1.5335739226429723E-4
17900.0,1.779049780452624E-4
18000.0,2.0154847879894078E-4
18100.0,2.235404863313306E-4
18200.0,2.4303309692186303E-4
18300.0,2.591905868030153E-4
18400.0,2.712364148464985E-4
18500.0,2.777999470708892E-4
18600.0,2.7780917298514396E-4
18700.0,2.708786414586939E-4
18800.0,2.56086204899475E-4
18900.0,2.3271118698175997E-4
19000.0,2.0049883460160345E-4
19100.0,1.5884048116276972E-4
19200.0,1.0706964349083137E-4
19300.0,4.48679647888639E-5
19400.0,-2.8174752401355363E-5
19500.0,-1.1175507097505033E-4
19600.0,-2.052268791885581E-4
19700.0,-3.078730806009844E-4
19800.0,-4.1856176540022716E-4
19900.0,-5.355430766940117E-4
20000.0,-6.561161717399955E-4
20100.0,-7.761798042338341E-4
20200.0,-8.946177695179358E-4
20300.0,-0.0010060501808766276
20400.0,-0.0011052431364078075
20500.0,-0.0011883286060765386
20600.0,-0.00125129462685436
20700.0,-0.0012880392605438828
20800.0,-0.0012982581392861903
20900.0,-0.0012790423061233014
21000.0,-0.0012291358143556863
21100.0,-0.0011455122148618102
21200.0,-0.0010238332470180467
21300.0,-8.595389081165195E-4
21400.0,-6.481034943135455E-4
21500.0,-3.843266604235396E-4
21600.0,-6.468429182859836E-5
21700.0,3.1334214872913435E-4
21800.0,7.498101331293583E-4
21900.0,0.0012426930479705334
22000.0,0.0017890608578454703
22100.0,0.0023891006712801754
22200.0,0.0030502149602398276
22300.0,0.003774475073441863
22400.0,0.004527382669039071
22500.0,0.005223613465204835
22600.0,0.005737638799473643
22700.0,0.0059436248848214746
22800.0,0.005860984558239579
22900.0,0.005606133723631501
23000.0,0.005071144201792777
23100.0,0.004252194543369114
23200.0,0.0033387752482667565
23300.0,0.0024140282184816897
23400.0,0.0014212134992703795
23500.0,2.8531754287541844E-4
23600.0,-9.638022165745497E-4
23700.0,-0.002142473589628935
23800.0,-0.003023759229108691
23900.0,-0.003507381014060229
24000.0,-0.0036659331526607275
24100.0,-0.003648902929853648
24200.0,-0.003580319753382355
24300.0,-0.003520753001794219
24400.0,-0.00343975709984079
24500.0,-0.003201594634447247
24600.0,-0.0026141911512240767
24700.0,-0.0016443781787529588
24800.0,-5.015385468141176E-4
24900.0,5.31148660229519E-4
25000.0,0.0012873453088104725
25100.0,0.001770790811860934
25200.0,0.0020773878786712885
25300.0,0.0023018018109723926
25400.0,0.0024766045389696956
25500.0,0.0025427881628274918
25600.0,0.00239478173898533
25700.0,0.0019441191398072988
25800.0,0.0011769730772357434
25900.0,1.7531324192532338E-4
26000.0,-8.652069518575445E-4
26100.0,-0.0017177998379338533
26200.0,-0.00230233435286209
26300.0,-0.0027141562895849347
26400.0,-0.0030795170459896326
26500.0,-0.0034424925688654184
26600.0,-0.003720434382557869
26700.0,-0.003756092570256442
26800.0,-0.003420847817324102
26900.0,-0.002659053250681609
27000.0,-0.0015123324992600828
27100.0,-1.234429496435041E-4
27200.0,0.0012704840337391943
27300.0,0.002404683211352676
27400.0,0.003121473069768399
27500.0,0.003470118623226881
27600.0,0.003644899930804968
27700.0,0.0037974610459059477
27800.0,0.0038902604137547314
27900.0,0.003730822412762791
28000.0,0.0031421571620739996
28100.0,0.0020983539579901844
