"Time","Max_vitesse_au_point_y Monitor: Max_vitesse_au_point_y Monitor (m/s)"
100.0,1.9542767404345796E-10
150.0,1.1709744285326451E-11
200.0,5.695710569852963E-11
250.0,-5.2523319027386606E-11
300.0,-1.240323399542831E-10
350.0,-1.2141754268668592E-10
400.0,2.637534635141492E-11
450.0,1.291482476517558E-10
500.0,-8.412825991399586E-12
550.0,2.1827872842550278E-11
600.0,1.7280399333685637E-11
650.0,-5.3660187404602766E-11
700.0,6.184563972055912E-11
750.0,1.255102688446641E-10
800.0,4.938556230627E-10
850.0,2.751221472863108E-10
900.0,2.3283064365386963E-10
950.0,7.412381819449365E-11
1000.0,3.5788616514764726E-10
1050.0,2.887645678129047E-10
1100.0,2.874003257602453E-10
1150.0,3.6834535421803594E-11
1200.0,6.684786058031023E-11
1250.0,-1.2641976354643703E-10
1350.0,-6.330083124339581E-10
1450.0,-3.6925484891980886E-10
1550.0,-4.5838532969355583E-10
1650.0,-3.1468516681343317E-10
1750.0,8.185452315956354E-11
1850.0,3.41970007866621E-10
1950.0,8.731149137020111E-10
2050.0,1.0186340659856796E-9
2150.0,1.000444171950221E-9
2250.0,1.0168150765821338E-9
2350.0,3.7471181713044643E-10
2450.0,-5.748006515204906E-10
2550.0,-1.82626536116004E-9
2650.0,-2.8849171940237284E-9
2750.0,-3.6925484891980886E-9
2850.0,-4.154571797698736E-9
2950.0,-3.5397533793002367E-9
3050.0,-2.0991137716919184E-9
3150.0,3.055902197957039E-10
3250.0,3.39787220582366E-9
3350.0,6.788468454033136E-9
3450.0,9.760697139427066E-9
3550.0,1.178705133497715E-8
3650.0,1.17652234621346E-8
3750.0,9.677023626863956E-9
3850.0,5.718902684748173E-9
3950.0,-5.093170329928398E-10
4050.0,-8.301867637783289E-9
4150.0,-1.7003912944346666E-8
4250.0,-2.535671228542924E-8
4350.0,-3.157765604555607E-8
4450.0,-3.408786142244935E-8
4550.0,-3.139575710520148E-8
4650.0,-2.2635504137724638E-8
4750.0,-7.639755494892597E-9
4850.0,1.2718373909592628E-8
4950.0,3.580498741939664E-8
5050.0,5.942274583503604E-8
5150.0,7.889320841059089E-8
5250.0,8.993811206892133E-8
5350.0,8.787901606410742E-8
5450.0,7.143898983485997E-8
5550.0,3.850436769425869E-8
5650.0,-9.087671060115099E-9
5750.0,-6.771006155759096E-8
5850.0,-1.3032695278525352E-7
5950.0,-1.8878199625760317E-7
6050.0,-2.3184111341834068E-7
6150.0,-2.496090019121766E-7
6250.0,-2.3106622393243015E-7
6350.0,-1.7021739040501416E-7
6450.0,-6.555637810379267E-8
6550.0,7.964263204485178E-8
6650.0,2.527740434743464E-7
6750.0,4.348803486209363E-7
6850.0,6.006339390296489E-7
6950.0,7.18409864930436E-7
7050.0,7.55775545258075E-7
7150.0,6.824993761256337E-7
7250.0,4.7584035200998187E-7
7350.0,1.2845703167840838E-7
7450.0,-3.500099410302937E-7
7550.0,-9.265495464205742E-7
7650.0,-1.5441037248820066E-6
7750.0,-2.1236373868305236E-6
7850.0,-2.5639055820647627E-6
7950.0,-2.753600711002946E-6
8050.0,-2.5794033717829734E-6
8150.0,-1.94435051525943E-6
8250.0,-7.897142495494336E-7
8350.0,8.872630132827908E-7
8450.0,3.0151059036143124E-6
