"Line Probe: Direction [1,0,0] (m)","Line Probe: Velocity: Magnitude (m/s)"
-5.5,1.4692880099533478E-5
-4.5,1.4341594090541175E-5
-3.5,1.3265530088269956E-5
-2.5,1.1181064493075546E-5
-1.5,6.742784812329951E-6
-0.5,5.995382168128555E-8
0.5,1.160719614951613E-8
1.5,3.1526512220301834E-6
2.5,6.509740375605735E-6
3.5,8.891223592319993E-6
4.5,1.0487808561301951E-5
5.5,1.1663805359563115E-5
6.5,1.2534000849120022E-5
7.5,1.3173378768069942E-5
8.5,1.3637291596215293E-5
9.5,1.3969081302563241E-5
10.5,1.4202911719626543E-5
11.5,1.4365367731649827E-5
12.5,1.4476731079814623E-5
13.5,1.4552131161548467E-5
14.5,1.460263559162049E-5
15.5,1.4636202900963592E-5
16.5,1.4658496295472698E-5
17.5,1.4673552921833964E-5
18.5,1.4683983896356877E-5
