"Line Probe: Direction [1,0,0] (m)","Line Probe: Velocity: Magnitude (m/s)"
-5.5,4.408081005750898E-4
-5.452,4.408081005750898E-4
-5.404,4.408081005750898E-4
-5.356,4.4075510392997013E-4
-5.308,4.4075510392997013E-4
-5.26,4.406535053239766E-4
-5.212,4.406535053239766E-4
-5.164,4.405010056750569E-4
-5.116,4.405010056750569E-4
-5.068,4.402978960696818E-4
-5.02,4.402978960696818E-4
-4.9719999999999995,4.4004199383834507E-4
-4.9239999999999995,4.4004199383834507E-4
-4.876,4.3973198949604777E-4
-4.828,4.3973198949604777E-4
-4.78,4.3936634077094755E-4
-4.732,4.3936634077094755E-4
-4.684,4.389430106649118E-4
-4.636,4.389430106649118E-4
-4.588,4.384596421124433E-4
-4.54,4.384596421124433E-4
-4.492,4.3791338334710016E-4
-4.444,4.3791338334710016E-4
-4.396,4.3730114990332653E-4
-4.348,4.3730114990332653E-4
-4.3,4.3730114990332653E-4
-4.252,4.3661921710316754E-4
-4.204,4.3661921710316754E-4
-4.156,4.358634238664537E-4
-4.108,4.358634238664537E-4
-4.0600000000000005,4.3502891082913825E-4
-4.0120000000000005,4.3502891082913825E-4
-3.964,4.3411023670824727E-4
-3.916,4.3411023670824727E-4
-3.868,4.331012329539726E-4
-3.82,4.331012329539726E-4
-3.7720000000000002,4.319948291132202E-4
-3.724,4.319948291132202E-4
-3.676,4.3078293651612447E-4
-3.628,4.3078293651612447E-4
-3.58,4.2945650667797366E-4
-3.532,4.2945650667797366E-4
-3.484,4.2800500747775216E-4
-3.436,4.2800500747775216E-4
-3.388,4.264165981486066E-4
-3.34,4.264165981486066E-4
-3.292,4.2467748912850103E-4
-3.2439999999999998,4.2467748912850103E-4
-3.1959999999999997,4.227720007453593E-4
-3.1479999999999997,4.227720007453593E-4
-3.0999999999999996,4.227720007453593E-4
-3.052,4.2068186523334846E-4
-3.004,4.2068186523334846E-4
-2.956,4.1838596565302907E-4
-2.908,4.1838596565302907E-4
-2.86,4.1586042411167963E-4
-2.812,4.1586042411167963E-4
-2.764,4.130722003867331E-4
-2.7159999999999997,4.130722003867331E-4
-2.668,4.1002251629723474E-4
-2.62,4.1002251629723474E-4
-2.572,4.066041404342982E-4
-2.524,4.066041404342982E-4
-2.476,4.0376187118533355E-4
-2.428,4.0177195766080134E-4
-2.38,3.996678471640724E-4
-2.332,3.9743486226631597E-4
-2.284,3.9507376287678764E-4
-2.2359999999999998,3.925723871265824E-4
-2.1879999999999997,3.899188953521108E-4
-2.1399999999999997,3.8710107098815816E-4
-2.0920000000000005,3.841048948793668E-4
-2.0440000000000005,3.809147783614226E-4
-1.9960000000000004,3.775135055078182E-4
-1.9480000000000004,3.7388165158698766E-4
-1.9000000000000004,3.7388165158698766E-4
-1.8520000000000003,3.6999770081561995E-4
-1.8040000000000003,3.658373487102475E-4
-1.7560000000000002,3.6137330006047995E-4
-1.7080000000000002,3.565748054314299E-4
-1.6600000000000001,3.514071403379169E-4
-1.612,3.458308810763525E-4
-1.564,3.3980138676014635E-4
-1.516,3.3326781730977644E-4
-1.468,3.261723577652123E-4
-1.42,3.184490103850015E-4
-1.3719999999999999,3.1002253928709455E-4
-1.3239999999999998,3.008071037496682E-4
-1.2759999999999998,2.9070510848604674E-4
-1.2279999999999998,2.796057552300274E-4
-1.1799999999999997,2.6738426542397583E-4
-1.1319999999999997,2.5390167336614757E-4
-1.0839999999999996,2.3900638916222506E-4
-1.0359999999999996,2.2253873926538097E-4
-0.9879999999999995,2.0434060706040708E-4
-0.9399999999999995,1.8428317156637055E-4
-0.8919999999999995,1.622975016831637E-4
-0.8439999999999994,1.3844010718554653E-4
-0.7959999999999994,1.1299422307532237E-4
-0.7479999999999993,8.66958194122444E-5
-0.6999999999999993,8.66958194122444E-5
-0.6519999999999992,6.0598404764783666E-5
-0.6040000000000001,3.6714495455214095E-5
-0.556,1.6901233955443505E-5
-0.508,4.271346808337112E-6
0.5,7.145287984768629E-7
0.548,7.145287984768629E-7
0.5960000000000001,2.7130922215207486E-6
0.6440000000000001,5.789290202479918E-6
0.6920000000000002,9.415131771555172E-6
0.7400000000000002,1.3287536980451908E-5
0.7880000000000003,1.7079713017449635E-5
0.8360000000000003,2.0623888090440592E-5
0.8840000000000003,2.3788875456463657E-5
0.9320000000000004,2.652352771565167E-5
0.9800000000000004,2.8814357227109166E-5
1.0280000000000005,3.068062019244043E-5
1.0760000000000005,3.214662551362943E-5
1.1240000000000006,3.322394117212285E-5
1.1720000000000006,3.3957979264632275E-5
1.2200000000000006,3.441412244565289E-5
1.267999999999999,3.46025109323553E-5
1.315999999999999,3.450489141217812E-5
1.363999999999999,3.417792483283435E-5
1.411999999999999,3.367206326305174E-5
1.459999999999999,3.2986596371165734E-5
1.5079999999999991,3.214066294620019E-5
1.5559999999999992,3.1150006003771534E-5
1.6039999999999992,3.0029601039483666E-5
1.6519999999999992,2.8789153446744767E-5
1.6999999999999993,2.8789153446744767E-5
1.7479999999999993,2.744126056955585E-5
1.7959999999999994,2.5997577935197338E-5
1.8439999999999994,2.446697889082576E-5
1.8919999999999995,2.285774917324021E-5
1.9399999999999995,2.117736938342121E-5
1.9879999999999995,1.943269601743265E-5
2.0359999999999996,1.76300505783613E-5
2.0839999999999996,1.577528295482259E-5
2.1319999999999997,1.387384832731092E-5
2.1799999999999997,1.1930954080095856E-5
2.2279999999999998,9.951814271105998E-6
2.276,7.942308670138575E-6
2.324,5.910945281137876E-6
2.372,3.87728183421765E-6
2.42,1.935943438574337E-6
2.468,1.196634143691857E-6
2.516,2.925511189142599E-6
2.564,4.966150604615176E-6
2.612,9.472982816818089E-6
2.66,9.472982816818089E-6
2.708,1.4001110570404299E-5
2.7560000000000002,1.4001110570404299E-5
2.8039999999999985,1.844035892104836E-5
2.8520000000000003,1.844035892104836E-5
2.8999999999999986,1.844035892104836E-5
2.9480000000000004,2.30087519724775E-5
2.9959999999999987,2.30087519724775E-5
3.0440000000000005,2.7593634361723752E-5
3.0919999999999987,2.7593634361723752E-5
3.1400000000000006,3.218948298462459E-5
3.187999999999999,3.218948298462459E-5
3.2360000000000007,3.678579096100122E-5
3.283999999999999,3.678579096100122E-5
3.3320000000000007,4.1373336563753496E-5
3.379999999999999,4.1373336563753496E-5
3.428000000000001,4.5944565929571766E-5
3.475999999999999,4.5944565929571766E-5
3.524000000000001,5.04929317780569E-5
3.571999999999999,5.04929317780569E-5
3.620000000000001,5.50127951448281E-5
3.6679999999999993,5.50127951448281E-5
3.716000000000001,5.949924167323434E-5
3.7639999999999993,5.949924167323434E-5
3.812000000000001,6.3947972843214E-5
3.8599999999999994,6.3947972843214E-5
3.9080000000000013,6.835525679810072E-5
3.9559999999999995,6.835525679810072E-5
4.004000000000001,7.271781893058353E-5
4.052,7.271781893058353E-5
4.100000000000001,7.271781893058353E-5
