"Line Probe: Direction [1,0,0] (m)","Line Probe: Velocity: Magnitude (m/s)"
-5.5,1.4692880099566949E-5
-4.5,1.4341595001079277E-5
-3.5,1.3265530084014146E-5
-2.5,1.1181064481239069E-5
-1.5,6.7427847686089945E-6
-0.5,5.995368384203589E-8
0.5,1.1607435632786368E-8
1.5,3.1526517118275382E-6
2.5,6.509741752021545E-6
3.5,8.891225422516464E-6
4.5,1.0487811303943954E-5
5.5,1.1663808093470222E-5
6.5,1.2534003579664431E-5
7.5,1.3173380586531161E-5
8.5,1.3637294323455153E-5
9.5,1.3969083120077193E-5
10.5,1.4202912629302473E-5
11.5,1.4365369550846191E-5
12.5,1.4476733808383742E-5
13.5,1.4552133890035325E-5
14.5,1.4602638320071669E-5
15.5,1.4636205629329289E-5
16.5,1.4658499023983402E-5
17.5,1.4673557469246509E-5
18.5,1.4683988443811338E-5
